user_sequence,challenge
4780_13,CI24917
4782_11,CI26945
4782_12,CI26953
4782_13,CI24917
4783_11,CI26170
4783_12,CI26160
4783_13,CI26174
4784_11,CI23714
4784_12,CI24868
4784_13,CI24968
4786_11,CI26160
4786_12,CI26160
4786_13,CI26161
4790_11,CI23663
4790_12,CI26054
4790_13,CI24968
4791_11,CI26939
4791_12,CI26939
4791_13,CI24917
4794_11,CI23663
4794_12,CI23856
4794_13,CI24917
4796_11,CI23663
4796_12,CI24522
4796_13,CI24917
4803_11,CI24206
4803_12,CI24868
4803_13,CI23855
4805_11,CI25175
4805_12,CI26939
4805_13,CI24917
4807_11,CI23663
4807_12,CI25054
4807_13,CI28567
4808_11,CI26939
4808_12,CI26939
4808_13,CI24917
4814_11,CI23714
4814_12,CI23663
4814_13,CI23855
4817_11,CI26170
4817_12,CI26160
4817_13,CI26174
4821_11,CI23663
4821_12,CI24917
4821_13,CI23855
4822_11,CI28571
4822_12,CI28568
4822_13,CI28569
4825_11,CI24530
4825_12,CI26055
4825_13,CI24917
4827_11,CI26945
4827_12,CI26953
4827_13,CI24917
4832_11,CI23856
4832_12,CI23663
4832_13,CI24917
4840_11,CI26939
4840_12,CI26939
4840_13,CI27050
4841_11,CI23663
4841_12,CI23856
4841_13,CI23855
4846_11,CI26170
4846_12,CI26160
4846_13,CI26157
4852_11,CI26170
4852_12,CI26160
4852_13,CI26174
4857_11,CI23663
4857_12,CI24522
4857_13,CI24917
4860_11,CI26948
4860_12,CI26950
4860_13,CI26953
4862_11,CI25175
4862_12,CI27957
4862_13,CI26902
4866_11,CI26170
4866_12,CI26160
4866_13,CI26161
4870_11,CI28571
4870_12,CI28568
4870_13,CI28567
4872_11,CI24206
4872_12,CI24522
4872_13,CI23855
4873_11,CI26961
4873_12,CI26948
4873_13,CI26939
4874_11,CI26170
4874_12,CI26160
4874_13,CI26174
4875_11,CI23663
4875_12,CI25140
4875_13,CI24917
4876_11,CI24257
4876_12,CI26054
4876_13,CI24917
4877_11,CI26170
4877_12,CI26160
4877_13,CI26157
4881_11,CI24530
4881_12,CI24522
4881_13,CI24917
4883_11,CI23663
4883_12,CI24868
4883_13,CI24968
4885_11,CI26175
4885_12,CI26170
4885_13,CI26174
4886_11,CI28571
4886_12,CI28568
4886_13,CI28567
4887_11,CI23663
4887_12,CI23856
4887_13,CI25732
4891_11,CI23663
4891_12,CI24522
4891_13,CI24917
4893_11,CI25175
4893_12,CI26939
4893_13,CI24917
4895_11,CI23663
4895_12,CI25140
4895_13,CI24917
4901_11,CI26170
4901_12,CI26160
4901_13,CI26161
4902_11,CI26945
4902_12,CI26939
4902_13,CI24917
4906_11,CI23714
4906_12,CI23663
4906_13,CI23855
4912_11,CI26961
4912_12,CI26946
4912_13,CI26939
4913_11,CI23714
4913_12,CI24530
4913_13,CI23855
4915_11,CI28582
4915_12,CI28568
4915_13,CI28569
4920_11,CI26170
4920_12,CI26160
4920_13,CI26157
4926_11,CI26961
4926_12,CI23714
4926_13,CI26939
4928_11,CI24257
4928_12,CI24868
4928_13,CI25732
4929_11,CI26948
4929_12,CI26950
4929_13,CI26953
4933_11,CI24867
4933_12,CI23663
4933_13,CI25140
4935_11,CI24868
4935_12,CI24263
4935_13,CI24917
4938_11,CI25175
4938_12,CI26939
4938_13,CI26953
4941_11,CI26170
4941_12,CI26160
4941_13,CI26174
4944_11,CI24955
4944_12,CI23663
4944_13,CI24917
4945_11,CI23663
4945_12,CI23856
4945_13,CI24917
4952_11,CI23663
4952_12,CI24522
4952_13,CI23855
4954_11,CI23663
4954_12,CI23856
4954_13,CI24917
4955_11,CI26918
4955_12,CI26934
4955_13,CI26905
4957_11,CI26170
4957_12,CI26160
4957_13,CI26161
4961_11,CI26170
4961_12,CI26160
4961_13,CI26174
4962_11,CI26939
4962_12,CI26953
4962_13,CI24917
4966_11,CI26170
4966_12,CI26160
4966_13,CI26174
4968_11,CI23714
4968_12,CI23663
4968_13,CI23855
4969_11,CI23714
4969_12,CI25769
4969_13,CI24917
4970_11,CI23663
4970_12,CI23856
4970_13,CI24917
4971_11,CI23663
4971_12,CI23856
4971_13,CI24917
4973_11,CI24530
4973_12,CI25119
4973_13,CI24917
4975_11,CI26160
4975_12,CI26160
4975_13,CI26174
4987_11,CI26170
4987_12,CI26160
4987_13,CI26174
4989_11,CI23856
4989_12,CI24522
4989_13,CI23855
4993_11,CI23663
4993_12,CI24868
4993_13,CI26911
4997_11,CI24530
4997_12,CI26055
4997_13,CI24917
4998_11,CI23663
4998_12,CI24868
4998_13,CI24917
4999_11,CI26961
4999_12,CI26946
4999_13,CI26939
5001_11,CI26961
5001_12,CI26946
5001_13,CI26939
5003_11,CI28568
5003_12,CI28582
5003_13,CI28567
5006_11,CI26945
5006_12,CI26939
5006_13,CI24917
5008_11,CI26170
5008_12,CI26160
5008_13,CI26174
5015_11,CI23663
5015_12,CI23856
5015_13,CI24917
5017_11,CI26170
5017_12,CI26160
5017_13,CI26174
5020_11,CI26165
5020_12,CI26170
5020_13,CI26174
5021_11,CI26160
5021_12,CI26160
5021_13,CI26157
5023_11,CI24530
5023_12,CI24522
5023_13,CI24917
5025_11,CI26961
5025_12,CI26948
5025_13,CI26939
5027_11,CI23663
5027_12,CI25054
5027_13,CI24917
5028_11,CI26961
5028_12,CI26948
5028_13,CI26939
5033_11,CI23714
5033_12,CI24530
5033_13,CI23855
5035_11,CI28568
5035_12,CI28582
5035_13,CI28569
5037_11,CI26945
5037_12,CI26939
5037_13,CI26902
5042_11,CI26170
5042_12,CI26160
5042_13,CI26157
5044_11,CI24530
5044_12,CI23663
5044_13,CI24917
5045_11,CI23714
5045_12,CI23856
5045_13,CI24968
5047_11,CI26950
5047_12,CI26945
5047_13,CI26939
5050_11,CI26170
5050_12,CI26160
5050_13,CI26174
5051_11,CI23663
5051_12,CI24522
5051_13,CI23855
5054_11,CI26950
5054_12,CI26945
5054_13,CI26953
5055_11,CI26945
5055_12,CI26939
5055_13,CI24917
5056_11,CI23663
5056_12,CI26054
5056_13,CI28567
5057_11,CI27790
5057_12,CI27779
5057_13,CI27781
5058_11,CI24527
5058_12,CI24522
5058_13,CI23855
5060_11,CI24257
5060_12,CI24868
5060_13,CI24917
5062_11,CI23714
5062_12,CI28568
5062_13,CI28567
5063_11,CI26167
5063_12,CI26170
5063_13,CI26157
5068_11,CI23714
5068_12,CI24530
5068_13,CI24917
5074_11,CI24867
5074_12,CI26054
5074_13,CI24917
5075_11,CI26175
5075_12,CI26170
5075_13,CI26174
5077_11,CI25353
5077_12,CI27652
5077_13,CI27679
5082_11,CI28568
5082_12,CI28582
5082_13,CI28569
5084_11,CI26170
5084_12,CI26160
5084_13,CI26174
5085_11,CI24522
5085_12,CI24522
5085_13,CI24917
5087_11,CI23663
5087_12,CI24522
5087_13,CI24917
5088_11,CI26945
5088_12,CI26939
5088_13,CI24917
5090_11,CI24955
5090_12,CI24257
5090_13,CI24868
5091_11,CI26221
5091_12,CI26170
5091_13,CI26174
5096_11,CI26170
5096_12,CI26170
5096_13,CI26174
5097_11,CI23714
5097_12,CI24868
5097_13,CI24968
5101_11,CI25175
5101_12,CI26939
5101_13,CI26953
5110_11,CI26170
5110_12,CI26160
5110_13,CI26174
5112_11,CI24955
5112_12,CI24257
5112_13,CI24917
5114_11,CI26170
5114_12,CI26160
5114_13,CI26174
5121_11,CI26170
5121_12,CI26160
5121_13,CI26161
5123_11,CI23714
5123_12,CI24522
5123_13,CI23855
5124_11,CI26170
5124_12,CI26160
5124_13,CI26174
5125_11,CI26170
5125_12,CI26160
5125_13,CI26174
5127_11,CI26175
5127_12,CI26170
5127_13,CI26174
5132_11,CI26175
5132_12,CI26170
5132_13,CI26174
5138_11,CI26055
5138_12,CI26054
5138_13,CI24917
5139_11,CI28582
5139_12,CI28568
5139_13,CI28569
5140_11,CI26918
5140_12,CI26919
5140_13,CI26905
5144_11,CI23663
5144_12,CI23856
5144_13,CI23855
5146_11,CI27049
5146_12,CI27030
5146_13,CI27031
5147_11,CI24206
5147_12,CI24868
5147_13,CI24917
5151_11,CI28568
5151_12,CI28582
5151_13,CI28567
5152_11,CI23663
5152_12,CI24206
5152_13,CI24917
5157_11,CI23714
5157_12,CI25140
5157_13,CI24968
5158_11,CI24530
5158_12,CI23663
5158_13,CI24917
5159_11,CI26961
5159_12,CI26946
5159_13,CI26939
5161_11,CI27026
5161_12,CI27049
5161_13,CI27031
5163_11,CI24522
5163_12,CI23724
5163_13,CI24968
5166_11,CI24257
5166_12,CI24868
5166_13,CI28567
5167_11,CI23856
5167_12,CI25140
5167_13,CI28567
5169_11,CI26170
5169_12,CI26160
5169_13,CI26174
5172_11,CI23714
5172_12,CI25175
5172_13,CI28569
5175_11,CI24860
5175_12,CI24522
5175_13,CI24917
5180_11,CI24522
5180_12,CI24373
5180_13,CI24917
5182_11,CI24257
5182_12,CI23856
5182_13,CI28567
5184_11,CI26170
5184_12,CI26160
5184_13,CI26174
5187_11,CI23663
5187_12,CI24522
5187_13,CI24917
5188_11,CI23663
5188_12,CI24522
5188_13,CI24968
5190_11,CI25124
5190_12,CI24866
5190_13,CI24968
5192_11,CI26167
5192_12,CI26170
5192_13,CI26157
5195_11,CI23663
5195_12,CI23856
5195_13,CI23855
5197_11,CI26175
5197_12,CI26170
5197_13,CI26174
5199_11,CI23663
5199_12,CI23856
5199_13,CI23855
5202_11,CI24937
5202_12,CI25052
5202_13,CI24917
5209_11,CI23663
5209_12,CI24522
5209_13,CI24917
5212_11,CI26170
5212_12,CI26170
5212_13,CI26174
5213_11,CI26170
5213_12,CI26160
5213_13,CI26157
5214_11,CI23663
5214_12,CI24522
5214_13,CI23855
5216_11,CI27651
5216_12,CI27652
5216_13,CI26221
5218_11,CI26945
5218_12,CI26945
5218_13,CI26939
5219_11,CI26170
5219_12,CI26160
5219_13,CI26174
5220_11,CI26918
5220_12,CI26915
5220_13,CI26908
5222_11,CI24633
5222_12,CI23598
5222_13,CI24461
5225_11,CI23714
5225_12,CI24868
5225_13,CI24917
5228_11,CI23663
5228_12,CI24952
5228_13,CI24917
5229_11,CI23663
5229_12,CI24952
5229_13,CI24972
5230_11,CI28128
5230_12,CI24952
5230_13,CI28840
5234_11,CI26950
5234_12,CI26945
5234_13,CI26953
5235_11,CI23663
5235_12,CI23856
5235_13,CI25732
5236_11,CI25175
5236_12,CI25140
5236_13,CI24917
5239_11,CI26961
5239_12,CI26946
5239_13,CI26939
5240_11,CI26170
5240_12,CI26160
5240_13,CI26174
5244_11,CI23714
5244_12,CI24530
5244_13,CI23663
5246_11,CI23663
5246_12,CI26055
5246_13,CI24917
5247_11,CI26961
5247_12,CI26946
5247_13,CI26939
5249_11,CI23663
5249_12,CI24522
5249_13,CI23855
5250_11,CI23663
5250_12,CI24868
5250_13,CI23855
5252_11,CI24522
5252_12,CI24966
5252_13,CI24917
5254_11,CI23663
5254_12,CI25054
5254_13,CI24917
5258_11,CI26175
5258_12,CI26170
5258_13,CI26174
5260_11,CI28582
5260_12,CI28568
5260_13,CI28569
5262_11,CI26950
5262_12,CI26945
5262_13,CI26939
5264_11,CI26170
5264_12,CI26160
5264_13,CI26174
5265_11,CI26950
5265_12,CI26945
5265_13,CI26939
5266_11,CI26919
5266_12,CI26915
5266_13,CI26905
5268_11,CI25353
5268_12,CI26828
5268_13,CI25140
5271_11,CI26165
5271_12,CI26170
5271_13,CI26174
5283_11,CI28571
5283_12,CI28568
5283_13,CI28569
5284_11,CI28571
5284_12,CI28582
5284_13,CI28567
5286_11,CI25353
5286_12,CI24917
5286_13,CI24917
5289_11,CI24937
5289_12,CI25052
5289_13,CI24917
5297_11,CI26170
5297_12,CI26160
5297_13,CI26174
5301_11,CI23663
5301_12,CI24868
5301_13,CI24917
5303_11,CI23663
5303_12,CI24522
5303_13,CI23855
5305_11,CI26170
5305_12,CI26160
5305_13,CI26157
5309_11,CI23663
5309_12,CI23856
5309_13,CI25732
5315_11,CI26170
5315_12,CI26160
5315_13,CI26174
5319_11,CI23929
5319_12,CI25175
5319_13,CI28569
5320_11,CI24257
5320_12,CI24868
5320_13,CI25732
5326_11,CI26170
5326_12,CI26160
5326_13,CI26174
5327_11,CI26948
5327_12,CI26950
5327_13,CI26953
5328_11,CI23663
5328_12,CI25054
5328_13,CI23855
5329_11,CI23714
5329_12,CI26055
5329_13,CI23855
5331_11,CI26170
5331_12,CI26160
5331_13,CI26157
5333_11,CI26170
5333_12,CI26160
5333_13,CI26174
5338_11,CI23855
5338_12,CI23714
5338_13,CI24530
5340_11,CI26170
5340_12,CI26160
5340_13,CI26174
5346_11,CI28568
5346_12,CI23856
5346_13,CI28567
5349_11,CI23714
5349_12,CI23856
5349_13,CI23855
5351_11,CI26055
5351_12,CI26054
5351_13,CI24917
5352_11,CI28568
5352_12,CI28582
5352_13,CI28567
5358_11,CI23663
5358_12,CI24917
5358_13,CI28567
5360_11,CI24530
5360_12,CI23663
5360_13,CI23856
5365_11,CI28568
5365_12,CI25140
5365_13,CI28567
5366_11,CI27651
5366_12,CI27652
5366_13,CI27648
5368_11,CI24530
5368_12,CI24206
5368_13,CI23855
5378_11,CI26175
5378_12,CI26211
5378_13,CI26221
5381_11,CI23663
5381_12,CI28568
5381_13,CI28567
5382_11,CI27049
5382_12,CI27030
5382_13,CI27031
5384_11,CI26170
5384_12,CI26160
5384_13,CI26174
5386_11,CI23663
5386_12,CI24868
5386_13,CI23662
5387_11,CI23663
5387_12,CI23856
5387_13,CI24968
5396_11,CI26170
5396_12,CI26160
5396_13,CI26157
5398_11,CI28582
5398_12,CI28568
5398_13,CI28569
5399_11,CI26961
5399_12,CI26946
5399_13,CI26939
5401_11,CI23663
5401_12,CI23856
5401_13,CI23855
5404_11,CI26918
5404_12,CI26915
5404_13,CI26905
5406_11,CI23663
5406_12,CI25054
5406_13,CI24917
5409_11,CI26170
5409_12,CI26160
5409_13,CI26221
5417_11,CI23663
5417_12,CI24868
5417_13,CI24917
5423_11,CI23855
5423_12,CI23714
5423_13,CI24917
5424_11,CI24527
5424_12,CI24522
5424_13,CI24968
5425_11,CI26170
5425_12,CI26160
5425_13,CI26174
5428_11,CI23856
5428_12,CI25732
5428_13,CI24917
5435_11,CI26221
5435_12,CI26170
5435_13,CI26174
5436_11,CI26170
5436_12,CI26160
5436_13,CI26174
5438_11,CI23663
5438_12,CI23856
5438_13,CI23855
5440_11,CI23714
5440_12,CI24868
5440_13,CI24968
5442_11,CI26170
5442_12,CI26160
5442_13,CI26174
5443_11,CI26175
5443_12,CI26170
5443_13,CI26174
5444_11,CI26961
5444_12,CI26939
5444_13,CI26953
5446_11,CI26948
5446_12,CI26950
5446_13,CI26953
5450_11,CI23663
5450_12,CI24522
5450_13,CI24968
5451_11,CI23663
5451_12,CI24868
5451_13,CI24917
5453_11,CI26167
5453_12,CI26160
5453_13,CI26157
5454_11,CI28582
5454_12,CI28568
5454_13,CI26911
5456_11,CI23663
5456_12,CI24952
5456_13,CI24968
5460_11,CI26961
5460_12,CI26939
5460_13,CI26953
5461_11,CI23663
5461_12,CI24868
5461_13,CI24917
5462_11,CI24527
5462_12,CI24868
5462_13,CI23855
5470_11,CI27651
5470_12,CI27652
5470_13,CI27662
5471_11,CI26175
5471_12,CI26170
5471_13,CI26174
5473_11,CI26948
5473_12,CI26950
5473_13,CI26939
5477_11,CI27049
5477_12,CI27030
5477_13,CI27031
5480_11,CI23663
5480_12,CI25140
5480_13,CI24917
5481_11,CI26170
5481_12,CI26160
5481_13,CI26174
5483_11,CI26945
5483_12,CI26939
5483_13,CI26953
5485_11,CI27049
5485_12,CI27030
5485_13,CI27031
5486_11,CI23663
5486_12,CI23856
5486_13,CI24917
5487_11,CI26170
5487_12,CI26160
5487_13,CI26174
5490_11,CI26961
5490_12,CI26948
5490_13,CI26939
5495_11,CI26918
5495_12,CI26919
5495_13,CI26911
5496_11,CI26948
5496_12,CI26950
5496_13,CI26953
5504_11,CI26172
5504_12,CI26160
5504_13,CI26174
5507_11,CI23714
5507_12,CI28568
5507_13,CI28567
5510_11,CI26207
5510_12,CI26950
5510_13,CI27050
5512_11,CI26948
5512_12,CI26950
5512_13,CI26953
5516_11,CI25052
5516_12,CI25052
5516_13,CI24917
5523_11,CI26948
5523_12,CI26950
5523_13,CI26953
5526_11,CI26175
5526_12,CI26170
5526_13,CI26174
5527_11,CI24530
5527_12,CI25140
5527_13,CI24968
5528_11,CI26939
5528_12,CI26939
5528_13,CI26953
5529_11,CI24527
5529_12,CI24522
5529_13,CI23855
5531_11,CI26170
5531_12,CI26160
5531_13,CI26174
5532_11,CI26910
5532_12,CI26160
5532_13,CI26174
5533_11,CI26919
5533_12,CI26915
5533_13,CI26905
5539_11,CI23663
5539_12,CI24206
5539_13,CI23856
5543_11,CI26160
5543_12,CI26160
5543_13,CI26217
5547_11,CI23714
5547_12,CI24868
5547_13,CI24917
5555_11,CI26170
5555_12,CI26160
5555_13,CI26174
5556_11,CI26167
5556_12,CI26170
5556_13,CI26174
5561_11,CI26175
5561_12,CI26170
5561_13,CI26174
5563_11,CI28582
5563_12,CI28568
5563_13,CI28567
5565_11,CI28568
5565_12,CI28568
5565_13,CI28569
5568_11,CI23663
5568_12,CI24522
5568_13,CI24917
5573_11,CI23663
5573_12,CI25140
5573_13,CI24917
5574_11,CI27049
5574_12,CI27030
5574_13,CI27031
5577_11,CI26170
5577_12,CI26160
5577_13,CI26157
5579_11,CI26167
5579_12,CI26170
5579_13,CI26157
5582_11,CI26207
5582_12,CI26945
5582_13,CI24917
5584_11,CI26175
5584_12,CI26170
5584_13,CI26174
5599_11,CI23663
5599_12,CI24522
5599_13,CI23855
5604_11,CI26175
5604_12,CI26170
5604_13,CI26174
5607_11,CI23663
5607_12,CI24206
5607_13,CI24968
5608_11,CI26175
5608_12,CI26170
5608_13,CI26174
5612_11,CI23856
5612_12,CI24522
5612_13,CI23855
5616_11,CI24952
5616_12,CI24952
5616_13,CI24968
5620_11,CI23714
5620_12,CI24530
5620_13,CI23663
5622_11,CI23663
5622_12,CI23856
5622_13,CI24968
5623_11,CI26160
5623_12,CI26160
5623_13,CI26157
5628_11,CI26216
5628_12,CI26170
5628_13,CI26161
5629_11,CI28571
5629_12,CI28568
5629_13,CI28569
5632_11,CI23663
5632_12,CI24868
5632_13,CI24917
5642_11,CI26929
5642_12,CI26939
5642_13,CI26217
5644_11,CI26170
5644_12,CI26919
5644_13,CI26911
5645_11,CI26948
5645_12,CI26950
5645_13,CI26953
5647_11,CI23714
5647_12,CI24530
5647_13,CI24968
5648_11,CI26950
5648_12,CI26953
5648_13,CI24917
5652_11,CI23663
5652_12,CI23856
5652_13,CI24917
5655_11,CI26170
5655_12,CI26160
5655_13,CI26174
5660_11,CI25058
5660_12,CI25140
5660_13,CI23855
5663_11,CI26950
5663_12,CI26945
5663_13,CI26953
5664_11,CI26950
5664_12,CI26945
5664_13,CI26939
5665_11,CI26211
5665_12,CI26915
5665_13,CI26905
5667_11,CI24530
5667_12,CI24868
5667_13,CI23855
5668_11,CI27749
5668_12,CI26388
5668_13,CI24917
5669_11,CI24868
5669_12,CI24522
5669_13,CI24917
5676_11,CI26939
5676_12,CI26939
5676_13,CI26953
5677_11,CI25058
5677_12,CI25140
5677_13,CI24917
5684_11,CI23714
5684_12,CI23663
5684_13,CI23855
5685_11,CI23663
5685_12,CI24868
5685_13,CI24917
5686_11,CI28568
5686_12,CI28568
5686_13,CI28569
5690_11,CI26948
5690_12,CI26950
5690_13,CI26953
5691_11,CI23663
5691_12,CI24530
5691_13,CI24968
5692_11,CI26170
5692_12,CI26160
5692_13,CI26174
5693_11,CI23663
5693_12,CI24522
5693_13,CI24968
5695_11,CI26172
5695_12,CI26170
5695_13,CI26174
5698_11,CI26175
5698_12,CI26170
5698_13,CI26174
5708_11,CI24257
5708_12,CI23856
5708_13,CI24968
5709_11,CI23856
5709_12,CI25732
5709_13,CI28567
5712_11,CI23714
5712_12,CI24867
5712_13,CI25298
5714_11,CI26172
5714_12,CI26170
5714_13,CI26174
5720_11,CI23663
5720_12,CI25140
5720_13,CI24917
5721_11,CI23714
5721_12,CI23663
5721_13,CI23855
5723_11,CI24937
5723_12,CI24936
5723_13,CI24942
5726_11,CI24942
5726_12,CI24942
5726_13,CI24917
5733_11,CI23663
5733_12,CI23856
5733_13,CI23855
5735_11,CI27049
5735_12,CI27030
5735_13,CI27031
5739_11,CI24206
5739_12,CI23856
5739_13,CI23855
5741_11,CI26961
5741_12,CI26946
5741_13,CI26939
5743_11,CI23663
5743_12,CI24522
5743_13,CI24917
5745_11,CI24530
5745_12,CI26055
5745_13,CI24917
5746_11,CI23663
5746_12,CI24522
5746_13,CI24917
5747_11,CI26055
5747_12,CI26054
5747_13,CI24917
5748_11,CI26175
5748_12,CI26211
5748_13,CI26174
5750_11,CI26170
5750_12,CI26160
5750_13,CI26174
5755_11,CI24530
5755_12,CI24868
5755_13,CI23855
5756_11,CI24530
5756_12,CI26055
5756_13,CI24917
5766_11,CI26221
5766_12,CI26170
5766_13,CI26174
5768_11,CI23714
5768_12,CI23856
5768_13,CI24917
5771_11,CI26170
5771_12,CI27957
5771_13,CI26174
5772_11,CI23663
5772_12,CI24530
5772_13,CI24917
5774_11,CI28568
5774_12,CI28582
5774_13,CI28569
5778_11,CI23855
5778_12,CI23663
5778_13,CI25140
5780_11,CI25052
5780_12,CI25052
5780_13,CI24917
5782_11,CI28568
5782_12,CI28568
5782_13,CI28569
5785_11,CI24937
5785_12,CI25052
5785_13,CI24917
5787_11,CI26946
5787_12,CI26939
5787_13,CI26953
5791_11,CI24867
5791_12,CI25140
5791_13,CI24917
5795_11,CI23663
5795_12,CI24868
5795_13,CI25732
5796_11,CI26918
5796_12,CI26934
5796_13,CI26911
5798_11,CI26950
5798_12,CI26945
5798_13,CI26939
5801_11,CI24206
5801_12,CI23856
5801_13,CI23855
5803_11,CI26918
5803_12,CI26915
5803_13,CI26905
5804_11,CI26221
5804_12,CI26211
5804_13,CI26217
5805_11,CI23714
5805_12,CI26054
5805_13,CI24917
5808_11,CI26939
5808_12,CI26934
5808_13,CI26217
5809_11,CI24206
5809_12,CI24522
5809_13,CI24917
5810_11,CI26170
5810_12,CI26160
5810_13,CI26174
5820_11,CI26216
5820_12,CI26160
5820_13,CI26161
5822_11,CI23714
5822_12,CI23663
5822_13,CI23855
5823_11,CI24530
5823_12,CI25140
5823_13,CI24968
5825_11,CI26948
5825_12,CI26950
5825_13,CI26953
5827_11,CI23663
5827_12,CI24522
5827_13,CI28567
5828_11,CI23714
5828_12,CI24522
5828_13,CI24917
5829_11,CI28568
5829_12,CI28582
5829_13,CI28569
